To	O
encourage	O
teams	O
to	O
jump	O
into	O
the	O
data	O
early	O
,	O
we	O
may	O
borrow	O
from	O
Kaggle	DATA
by	O
offering	O
a	O
web	O
service	O
that	O
scores	O
runs	O
before	O
the	O
final	O
submission	O
deadline	O
.	O

Government	O
data	O
catalogues	O
,	O
such	O
as	O
data.gov	DATA
and	O
data.gov.uk	DATA
,	O
constitute	O
a	O
corner	O
stone	O
in	O
this	O
movement	O
as	O
they	O
serve	O
as	O
central	O
one-stop	O
portals	O
where	O
datasets	O
can	O
be	O
found	O
and	O
accessed	O
.	O

These	O
results	O
are	O
comparable	O
to	O
recently	O
reported	O
results	O
for	O
the	O
Netflix	DATA
data	O
by	O
methods	O
that	O
require	O
an	O
extensive	O
training	O
phase	O
2	O
,	O
13	O
.	O

The	O
average	O
numbers	O
of	O
terms	O
were	O
2.89	O
for	O
the	O
NTCIR-3	O
information	O
topics	O
,	O
2.39	O
for	O
the	O
NTCIR-4	O
informational	O
topics	O
,	O
1.39	O
for	O
the	O
NTCIR-4	O
navigational	O
topics	O
,	O
and	O
1.35	O
for	O
the	O
NTCIR-5	O
navigational	O
topics	O
,	O
respectively	O
.	O

Section	O
5	O
describes	O
the	O
performance	O
experiments	O
conducted	O
using	O
RDF	O
data	O
for	O
WordNet	DATA
and	O
UniProt	DATA
.	O

There	O
are	O
16	O
,509	O
,	O
60	O
,936	O
,	O
151	O
,722	O
,	O
and	O
83	O
,470	O
distinct	O
facts	O
regarding	O
the	O
KB	O
properties	O
cb	O
:	O
acquired	O
,	O
cb	O
:	O
competesWith	O
,	O
cb	O
:	O
founded	O
,	O
and	O
cb	O
:	O
isBoardMemberOrAdvisor	O
,	O
respectively	O
.	O

The	O
news	O
stories	O
of	O
Dataset2	O
are	O
from	O
the	O
sports	O
channel	O
of	O
SOHU	DATA
http:sports.sohu.com	DATA
on	O
April	O
22	O
,	O
2007	O
.	O

The	O
three	O
hosts	O
features	O
behave	O
differently	O
.	O

The	O
MovieLens	DATA
10M	O
and	O
Netflix	DATA
datasets	O
are	O
used	O
in	O
this	O
study	O
.	O

All	O
programs	O
are	O
built	O
as	O
64-	O
bit	O
executables	O
using	O
LLVM	O
3.2	O
with	O
the	O
clang	O
front-end	O
and	O
-O2	O
optimizations	O
.	O


The	O
numbers	O
in	O
the	O
